QCDate,ProductID,ProductNo,ProductName,LineID,Description,Specials,OriginationDate,EntryDate,Status,MatrixNumber,Components,Availability,EquivalentSoln,EquivalentNeat,Packaging,Storage,ExpirationDate,ShipType,UN#,ShipClass,PackGrp,ShipSpecial,Hazard1,Hazard2,Hazard3,Prop65,MSDS,Analysis,CofAHeader,Agilent#,Tedia#,ProdNotes,MatrixNotes,RecipeId,RushPriority,IsVoided,SagePartNumber,ProductLevel,DateInserted,CofATemplate,UniqueRequestID,Test_Timestamp,PfIDNo,PfBatchID,OrdID,QuoteNo,PfSentTo,PrepDate,PrepVolume,PrepUnit,PrepVessel,PrepVBarcode,PrdSaleUnit,PrepMatrixNo,PrepMatrixLot,PrepInits,PrepMemo,PrepNotebookRef,BulkQCStatus,BulkQCDate,BulkPassFail,BulkQCInits,BulkQCMemo,BulkLotNo,AmpRetains,AmpDate,AmpPreLabel,AmpNumberGood,AmpNumberBad,AmpBulkRemain,AmpTimeIn,AmpTimeOut,AmpInits,QCStatus,QCPassFail,QCAuthInits,QCMemo,QCMethod,LotNo,QCExpMonth,QCExpDate,QCSellBy,QCFullValidation,QCValidation,FgInvCount,FgAccpacNote,CofAHeaderNo,QCChromatogram,Correct,DoNotCorrect,DensityUnit,DensityTemp,recipeid
2020-01-30,,QWS-125-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8070,NB991516,,Prodflow I,done,1999-09-02 00:00:00,250.0,mL,1.0,,ampule,JHP-021,39126,AHS,"AHS-S04-89
",AHS-S04-89,,,,,,,,1999-09-08 00:00:00,False,98.0,0.0,,1899-12-30 02:55:00,1899-12-30 03:15:00,ZMA,,PASS,KFM,FOR JANUARY STUDY,,P-1840,,,,True,2.0,,,2.0,,False,True,,,
2020-02-06,,QWS-115-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8071,NB991517,,Prodflow I,done,1999-09-02 00:00:00,250.0,mL,1.0,,ampule,JHP-021,39126,CFC,CFC-S07-139,CFC-S07-139,,,,,,,,1999-09-08 00:00:00,False,97.0,0.0,,1899-12-30 02:10:00,1899-12-30 02:25:00,ZMA,,PASS,KFM,FOR JANUARY STUDY,,P-1845,,,,True,2.0,,,2.0,,False,True,,,
2020-02-10,,QWS-225-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200,NB991648,,Prodflow I,done,1999-10-04 00:00:00,250.0,mL,1.0,,ampule,JHP-021,39126,AHS,"AHS-S04-191
SONICATED",AHS-S04-191,,,,,,,,1999-10-08 00:00:00,False,318.0,6.0,,1899-12-30 12:10:00,1899-12-30 01:40:00,ZMA,,FAIL,JER,"used for cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-06,,CUS-3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8203,NB991651,,Prodflow I,done,1999-10-04 00:00:00,100.0,mL,1.0,,ampule,JHP-079,BN93KD,RAA,RAA S68-153,RAA-S68-153,,,,,,,,1999-10-06 00:00:00,False,71.0,0.0,,1899-12-30 01:20:00,1899-12-30 01:35:00,ZMA,,PASS,JER,gravimetric,,P-1526,,,,False,1.0,,,1.0,,False,True,,,
2020-01-30,,CUS-3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8205,NB991653,,Prodflow I,done,1999-10-05 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39126,RAA,RAA S68-147,RAA-S68-147,,,,,,,,1999-10-06 00:00:00,False,131.0,1.0,,1899-12-30 03:15:00,1899-12-30 03:35:00,ZMA,,PASS,JER,gravimetric,,P-1527,,,,False,1.0,,,1.0,,False,True,,,
2020-02-05,,QWP-276-1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8325,NB991773,,Prodflow I,done,1999-10-27 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39126,AHS,AHS-S05-83B,AHS-S05-83B,,,,,,,,1999-11-03 00:00:00,False,254.0,7.0,,1899-12-30 01:40:00,1899-12-30 01:55:00,Z&S,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-04,,QWP-276-1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8326,NB991774,,Prodflow I,done,1999-10-27 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39126,AHS,"AHS-S05-85A
SONICATED",AHS-S05-85A,,,,,,,,1999-11-02 00:00:00,False,256.0,1.0,,1899-12-30 12:10:00,1899-12-30 01:20:00,ZMA,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-05,,QWP-276-1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8327,NB991775,,Prodflow I,done,1999-10-27 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39126,AHS,"AHS-S05-85B
SONICATED",AHS-S05-85B,,,,,,,,1999-11-03 00:00:00,False,222.0,0.0,,1899-12-30 02:45:00,1899-12-30 03:05:00,Z&S,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-04,,QWS-285-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8330,NB991778,,Prodflow I,done,1999-10-27 00:00:00,250.0,mL,1.0,,ampule,JHP-001,39113,RAA,RAA S69-83B,RAA-S69-83B,,,,,,,,1999-11-02 00:00:00,False,306.0,0.0,,1899-12-30 01:40:00,1899-12-30 02:15:00,ZMA,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-01-31,,QWP-205-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8332,NB991780,,Prodflow I,done,1999-10-28 00:00:00,250.0,mL,1.0,,ampule,JHP-001,39133,AHS,"AHS-S05-87
SONICATED",AHS-S05-87,,,,,,,,1999-11-03 00:00:00,False,305.0,0.0,,1899-12-30 03:50:00,1899-12-30 04:10:00,Z&S,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-05,,QWS-315-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8334,NB991782,,Prodflow I,done,1999-10-28 00:00:00,250.0,mL,1.0,,ampule,JHP-001,39133,AHS,"AHS-S05-89
SONICATED",AHS-S05-89,,,,,,,,1999-11-03 00:00:00,False,314.0,0.0,,1899-12-30 01:10:00,1899-12-30 01:30:00,Z&S,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-05,,QWS-275-1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8339,NB991787,,Prodflow I,done,1999-10-29 00:00:00,200.0,mL,1.0,,ampule,JHP-001,39133,AHS,"AHS-S05-91A
SONICATED",AHS-S05-91A,,,,,,,,1999-11-03 00:00:00,False,248.0,0.0,,1899-12-30 03:30:00,1899-12-30 03:45:00,Z&S,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-05,,QWS-275-1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8340,NB991788,,Prodflow I,done,1999-10-29 00:00:00,200.0,mL,1.0,,ampule,JHP-001,39133,AHS,"AHS-S05-91B
SONICATED",AHS-S05-91B,,,,,,,,1999-11-04 00:00:00,False,238.0,3.0,,1899-12-30 08:56:00,1899-12-30 09:35:00,ZMA,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-01-25,,QWS-275-1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8341,NB991789,,Prodflow I,done,1999-10-29 00:00:00,200.0,mL,1.0,,ampule,JHP-001,39133,AHS,"AHS-S05-93
SONICATED",AHS-S05-93,,,,,,,,1999-11-03 00:00:00,False,244.0,5.0,,1899-12-30 02:00:00,1899-12-30 02:20:00,Z&S,,FAIL,JER,"used as cal, bring into qc",,,,,,True,2.0,,,2.0,,False,True,,,
2020-01-28,,QWM-145-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8732,NC000095,,Prodflow I,done,2000-01-20 00:00:00,250.0,mL,1.0,,ampule,JHP-021,39027,AHS,AHS-S06-155,AHS-S06-155,,,,,,,,2000-01-24 00:00:00,False,91.0,3.0,,1899-12-30 03:35:00,1899-12-30 04:05:00,SAL,,PASS,JER,,,R-0938,,,,True,2.0,,,2.0,,False,True,,,
2020-01-27,,SVM-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9604,NC000969,,Prodflow I,done,2000-07-12 00:00:00,500.0,mL,1.0,,ampule,JHP-050,39104/31072,CFC,"CFC-S10-155
SONICATED",CFC-S10-155,,,,,,,,2000-07-13 00:00:00,False,345.0,5.0,,1899-12-30 02:15:00,1899-12-30 03:25:00,ZMA,,FAIL,JER,,,,,,,True,2.0,,,3.0,,False,True,,,
2020-01-27,,SVM-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7399,NB990845,,Prodflow I,done,1999-05-14 00:00:00,1000.0,mL,1.0,,ampule,JHP-050,34118/30226,CFC,"CFC-S06-35
SONICATED",CFC-S06-35,,,,,,,,1999-05-20 00:00:00,False,690.0,2.0,,1899-12-30 01:15:00,1899-12-30 02:15:00,Z&S,,PASS,KFM,,,P-0961,,2001-07-31 00:00:00,,True,2.0,,,3.0,,False,True,,,
2020-01-29,,SVM-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7427,NB990873,,Prodflow I,done,1999-05-18 00:00:00,1000.0,mL,1.0,,ampule,JHP-050,36222/30226,DAD,"DAD-S02-145
SONICATED
CAL and 2nd LOT",DAD-S02-145,,,,,,,,1999-05-26 00:00:00,False,711.0,1.0,,1899-12-30 10:30:00,1899-12-30 11:25:00,Z&S,,PASS,KFM,,,P-0966,,,,True,2.0,,,3.0,,False,True,,,
2020-01-31,,RGO-721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8569,NB992018,,Prodflow I,done,1999-12-13 00:00:00,250.0,mL,1.0,,ampule,JHP-031,37254,AHS,"AHS-S06-43
SONICATED",AHS-S06-43,,,,,,,,2000-01-13 00:00:00,False,165.0,2.0,,1899-12-30 03:00:00,1899-12-30 03:20:00,ZMA,,FAIL,WJL,NLA,,,,,,True,2.0,,,2.0,,False,True,,,
2020-01-30,,RGO-721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7517,NB990963,,Prodflow I,done,1999-05-28 00:00:00,200.0,mL,1.0,,ampule,JHP-031,34118,AHS,"AHS-S02-185
SONICATED",AHS-S02-185,,,,,,,,,False,,,,,,,,FAIL,WJL,,,,,,,True,2.0,,,2.0,,False,True,,,
2020-01-29,,RGO-721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7519,NB990965,,Prodflow I,done,1999-06-01 00:00:00,200.0,mL,1.0,,ampule,JHP-031,36222,DAD,"DAD-S03-9A
",DAD-S03-9A,,,,,,,,,False,,,,,,,,FAIL,WJL,,,,,,,True,2.0,,,2.0,,False,True,,,
2020-02-04,,CUS-3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8577,NB992026,,Prodflow I,done,1999-12-14 00:00:00,25.0,mL,1.0,,ampule,JHP-014,38201,RAA,RAA S70-81,RAA-S70-81,,,,,,,,1999-12-15 00:00:00,False,10.0,0.0,,1899-12-30 01:10:00,1899-12-30 01:50:00,ZMA,,PASS,JER,gravimetric,,P-1891,,,,False,1.0,,,1.0,,False,True,,,
2020-02-06,,CUS-3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8587,NB992036,,Prodflow I,done,1999-12-16 00:00:00,100.0,mL,1.0,,ampule,JHP-001,39133,CFC,"CFC-S08-175
SONICATED",CFC-S08-175,,,,,,,,1999-12-16 00:00:00,False,73.0,0.0,,1899-12-30 04:20:00,1899-12-30 04:35:00,ZMA,,PASS,JER,gravimetric,,P-1881,,,,False,1.0,,,1.0,,False,True,,,
2020-02-03,,PST-1120S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9525,NC000890,,Prodflow I,done,2000-06-22 00:00:00,100.0,mL,1.0,,ampule,JHP-021,39263,RAA,RAA S75-155,RAA-S75-155,,,,,,,,2000-06-22 00:00:00,False,73.0,0.0,,1899-12-30 01:30:00,1899-12-30 01:45:00,ZMA,,PASS,JER,gravimetric,,R-0965,,2002-08-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-02-03,,CUS-2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9527,NC000892,,Prodflow I,done,2000-06-22 00:00:00,100.0,mL,1.0,,ampule,JHP-031,39104,RAA,RAA S75-159,RAA-S75-159,,,,,,,,2000-06-21 00:00:00,False,40.0,0.0,,1899-12-30 03:45:00,1899-12-30 03:55:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-0868,,2003-07-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-02-05,,CUS-2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7944,NB991390,,Prodflow I,done,1999-08-16 00:00:00,100.0,mL,1.0,,ampule,JHP-031,37254,RAA,RAA S67-101,RAA-S67-101,,,,,,,,1999-08-13 00:00:00,False,40.0,0.0,,1899-12-30 04:15:00,1899-12-30 04:30:00,ZMA,,PASS,JER,gravimetric,,P-1318,,,,False,1.0,,,1.0,,False,True,,,
2020-02-06,,CUS-2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5721,NB981093,,Prodflow I,done,1998-07-28 00:00:00,100.0,mL,1.0,,ampule,JHP-031,36222,RAA,RAA S56-115,RAA-S56-115,,,,,,,,1998-07-29 00:00:00,False,12.0,0.0,,1899-12-30 00:00:00,1899-12-30 00:00:00,ZMA,,PASS,JER,gravimetric,,M-1084,,,,False,1.0,,,1.0,,False,True,,,
2020-02-06,,CUS-3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9528,NC000893,,Prodflow I,done,2000-06-22 00:00:00,500.0,mL,1.0,,ampule,JHP-039,TO-16007,RAA,RAA S75-161,RAA-S75-161,,,,,,,,2000-06-22 00:00:00,False,50.0,0.0,,1899-12-30 11:40:00,1899-12-30 12:45:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-0869,,2004-07-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-02-06,,QWM-145-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9529,NC000894,,Prodflow I,done,2000-06-22 00:00:00,250.0,mL,1.0,,ampule,JHP-021,39263,AHS,AHS-S09-161,AHS-S09-161,,,,,,,,2000-06-26 00:00:00,False,94.0,0.0,,1899-12-30 01:50:00,1899-12-30 02:05:00,ZMA,,PASS,JER,,,R-1044,,,,True,2.0,,,2.0,,False,True,,,
2020-02-04,,QWM-305B-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9532,NC000897,,Prodflow I,done,2000-06-22 00:00:00,250.0,mL,1.0,,ampule,JHP-001,39133,AHS,"AHS-S09-165
",AHS-S09-165,,,,,,,,2000-06-26 00:00:00,False,97.0,0.0,,1899-12-30 02:55:00,1899-12-30 03:10:00,ZMA,,PASS,JER,,,R-1046,,,,True,2.0,,,2.0,,False,True,,,
2020-02-10,,QWP-205-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9542,NC000907,,Prodflow I,done,2000-06-26 00:00:00,200.0,mL,1.0,,ampule,JHP-001,39133,AHS,AHS-S09-173/175,AHS-S09-173/175,,,,,,,,2000-06-26 00:00:00,False,80.0,0.0,,1899-12-30 03:35:00,1899-12-30 03:50:00,ZMA,,PASS,JMB,,,R-1038,,,,True,2.0,,,2.0,,False,True,,,
2020-02-04,,CUS-3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8736,NC000099,,Prodflow I,done,2000-01-21 00:00:00,100.0,mL,1.0,,ampule,JHP-021,39027,RAA,RAA S71-67,RAA-S71-67,,,,,,,,2000-01-21 00:00:00,False,70.0,0.0,,1899-12-30 04:25:00,1899-12-30 04:40:00,ZMA,,PASS,JER,gravimetric,,R-0092,,,,False,1.0,,,1.0,,False,True,,,
2020-02-04,,QWM-305B-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8737,NC000100,,Prodflow I,done,2000-01-21 00:00:00,250.0,mL,1.0,,ampule,JHP-001,39133,AHS,AHS-S06-161,AHS-S06-161,,,,,,,,2000-01-25 00:00:00,False,92.0,2.0,,1899-12-30 09:20:00,1899-12-30 09:40:00,SAL,,PASS,JER,gravimetric,,R-0310,,,,True,2.0,,,2.0,,False,True,,,
2020-02-03,,CUS-3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8742,NC000105,,Prodflow I,done,2000-01-24 00:00:00,200.0,mL,1.0,,ampule,JHP-001,39133,RAA,RAA S71-71,RAA-S71-71,,,,,,,,2000-01-24 00:00:00,False,135.0,0.0,,1899-12-30 01:40:00,1899-12-30 02:05:00,SAL,,PASS,JER,GRAVIMETRIC,,R-0115,,,,False,1.0,,,1.0,,False,True,,,
2020-02-13,,CUS-3290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8746,NC000109,,Prodflow I,done,2000-01-25 00:00:00,100.0,mL,1.0,,ampule,JHP-021,39027,RAA,RAA S71-77,RAA-S71-77,,,,,,,,2000-01-25 00:00:00,False,71.0,0.0,,1899-12-30 02:05:00,1899-12-30 02:25:00,SAL,,PASS,JER,GRAVIMETRIC,,R-0116,,,,False,1.0,,,1.0,,False,True,,,
2020-02-05,,DWM-570K-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8756,NC000119,,Prodflow I,done,2000-01-26 00:00:00,500.0,mL,1.0,,ampule,JHP-021,39027,AHS,AHS-S06-175,AHS-S06-175,,,,,,,,2000-01-27 00:00:00,False,313.0,2.0,,1899-12-30 11:35:00,1899-12-30 12:15:00,SAL,,PASS,CTK,,,R-0159,,2003-03-31 00:00:00,,True,2.0,,,2.0,,False,True,,,
2020-02-06,,QWM-305A-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8757,NC000120,,Prodflow I,done,2000-01-26 00:00:00,500.0,mL,1.0,,ampule,JHP-001,39133,CFC,"CFC-S09-17
SONICATED",CFC-S09-17,,,,,,,,2000-02-01 00:00:00,False,201.0,0.0,,1899-12-30 09:20:00,1899-12-30 10:10:00,ZMA,,PASS,JER,gravimetric,,R-0309,,,,True,2.0,,,2.0,,False,True,,,
2020-02-05,,DWM-570K-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8758,NC000121,,Prodflow I,done,2000-01-27 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39027,AHS,AHS-S06-179,AHS-S06-179,,,,,,,,2000-01-27 00:00:00,False,137.0,0.0,,1899-12-30 04:00:00,1899-12-30 04:20:00,SAL,,PASS,CTK,,,R-0158,,2003-03-31 00:00:00,,True,2.0,,,2.0,,False,True,,,
2020-01-29,,DWM-570K-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8759,NC000122,,Prodflow I,done,2000-01-27 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39027,AHS,AHS-S06-181,AHS-S06-181,,,,,,,,2000-01-31 00:00:00,False,129.0,0.0,,1899-12-30 09:05:00,1899-12-30 09:35:00,ZMA,,PASS,CTK,,,R-0157,,2003-03-31 00:00:00,,True,2.0,,,2.0,,False,True,,,
2020-02-03,,CUS-2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8814,NC000177,,Prodflow I,done,2000-02-07 00:00:00,100.0,mL,1.0,,ampule,JHP-031,39104,RAA,RAA S71-157,RAA-S71-157,,,,,,,,2000-02-08 00:00:00,False,69.0,2.0,,1899-12-30 04:20:00,1899-12-30 04:35:00,ZMA,,PASS,JER,gravimetric,,R-0201,,,,False,1.0,,,1.0,,False,True,,,
2020-01-28,,CUS-2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6416,NB981789,,Prodflow I,done,1998-11-23 00:00:00,100.0,mL,1.0,,ampule,JHP-031,36222,RAA,RAA S60-39,RAA-S60-39,,,,,,,,1998-11-25 00:00:00,False,30.0,0.0,,1899-12-30 04:00:00,1899-12-30 04:05:00,Z&S,,PASS,JER,gravimetric,,M-1761,,,,False,1.0,,,1.0,,False,True,,,
2020-01-29,,QWS-255-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8018,NB991464,,Prodflow I,done,1999-08-25 00:00:00,200.0,mL,1.0,,ampule,JHP-003,36222,AHS,AHS-S04-43B/45A,AHS-S04-43B/45A,,,,,,,,1999-08-27 00:00:00,False,82.0,0.0,,1899-12-30 11:35:00,1899-12-30 11:50:00,ZMA,,FAIL,JER,FAILED QC,,,,,,True,2.0,,,2.0,,False,True,,,
2020-01-31,,CUS-3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8021,NB991467,,Prodflow I,done,1999-08-25 00:00:00,100.0,mL,1.0,,ampule,JHP-019,35103/34117,RAA,RAA S67-167,RAA-S67-167,,,,,,,,1999-08-25 00:00:00,False,74.0,0.0,,1899-12-30 03:35:00,1899-12-30 03:50:00,ZMA,,PASS,JER,gravimetric,,P-1352,,,,False,1.0,,,1.0,,False,True,,,
2020-01-29,,CUS-3184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8023,NB991469,,Prodflow I,done,1999-08-25 00:00:00,100.0,mL,1.0,,ampule,JHP-021,39126,RAA,RAA S67-175,RAA-S67-175,,,,,,,,1999-08-26 00:00:00,False,72.0,2.0,,1899-12-30 08:45:00,1899-12-30 09:05:00,ZMA,,PASS,JER,GRAVIMETRIC,,P-1379,,,,False,1.0,,,1.0,,False,True,,,
2020-01-28,,CUS-3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8028,NB991474,,Prodflow I,done,1999-08-26 00:00:00,200.0,mL,1.0,,ampule,JHP-019,35103/34117,RAA,RAA S67-169,RAA-S67-169,,,,,,,,1999-08-26 00:00:00,False,142.0,0.0,,1899-12-30 04:20:00,1899-12-30 04:55:00,ZMA,,PASS,JER,GRAVIMETRIC,,P-1380,,,,False,1.0,,,1.0,,False,True,,,
2020-01-29,,QWS-275-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8031,NB991477,,Prodflow I,done,1999-08-27 00:00:00,200.0,mL,1.0,,ampule,JHP-001,36325,AHS,AHS-S04-51B,AHS-S04-51B,,,,,,,,1999-09-02 00:00:00,False,79.0,0.0,,1899-12-30 11:35:00,1899-12-30 11:55:00,ZMA,,PASS,CTK,FOR JANUARY STUDY,,P-1836,,,,True,2.0,,,2.0,,False,True,,,
2020-01-29,,QWS-315-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8032,NB991478,,Prodflow I,done,1999-08-27 00:00:00,250.0,mL,1.0,,ampule,JHP-001,36325,AHS,AHS-S04-53,AHS-S04-53,,,,,,,,1999-09-07 00:00:00,False,80.0,0.0,,1899-12-30 04:35:00,1899-12-30 04:50:00,ZMA,,PASS,KFM,FOR JANUARY STUDY,,P-1846,,,,True,2.0,,,2.0,,False,True,,,
2020-01-28,,QWS-316-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8033,NB991479,,Prodflow I,done,1999-08-27 00:00:00,200.0,mL,1.0,,ampule,JHP-001,36325,AHS,AHS-S04-55,AHS-S04-55,,,,,,,,1999-09-08 00:00:00,False,83.0,0.0,,1899-12-30 11:00:00,1899-12-30 11:15:00,ZMA,,PASS,KFM,FOR JANUARY STUDY,,P-1843,,,,True,2.0,,,2.0,,False,True,,,
2020-01-28,,QWS-265-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8040,NB991486,,Prodflow I,done,1999-08-30 00:00:00,250.0,mL,1.0,,ampule,JHP-040,R8JM88502,AHS,AHS-S04-59,AHS-S04-59,,,,,,,,1999-09-02 00:00:00,False,93.0,0.0,,1899-12-30 01:10:00,1899-12-30 01:35:00,ZMA,,PASS,KFM,,,P-1936,,,,True,2.0,,,2.0,,False,True,,,
2020-02-07,,QWS-266-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8041,NB991487,,Prodflow I,done,1999-08-30 00:00:00,200.0,mL,1.0,,ampule,JHP-040,R8JM88502,AHS,AHS-S04-61A,AHS-S04-61A,,,,,,,,1999-09-07 00:00:00,False,72.0,0.0,,1899-12-30 04:10:00,1899-12-30 04:50:00,ZMA,,PASS,JER,,,R-0001,,,,True,2.0,,,2.0,,False,True,,,
2020-01-29,,QWS-267-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8042,NB991488,,Prodflow I,done,1999-08-30 00:00:00,250.0,mL,1.0,,ampule,JHP-040,R8JM88502,AHS,AHS-S04-61B,AHS-S04-61B,,,,,,,,1999-09-08 00:00:00,False,97.0,1.0,,1899-12-30 11:25:00,1899-12-30 11:50:00,ZMA,,PASS,JER,,,R-0002,,,,True,2.0,,,2.0,,False,True,,,
2020-02-04,,CUS-3186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8044,NB991490,,Prodflow I,done,1999-08-30 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39126,RAA,RAA S67-191,RAA-S67-191,,,,,,,,1999-08-31 00:00:00,False,181.0,5.0,,1899-12-30 01:20:00,1899-12-30 01:40:00,ZMA,,PASS,JER,GRAVIMETRIC,,P-1387,,,,False,1.0,,,1.0,,False,True,,,
2020-01-30,,CUS-3131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8045,NB991491,,Prodflow I,done,1999-08-30 00:00:00,100.0,mL,1.0,,ampule,JHP-143,N990068,RAA,RAA S67-185A,RAA-S67-185A,,,,,,,,1999-08-30 00:00:00,False,1.0,0.0,,1899-12-30 01:00:00,1899-12-30 01:05:00,RAA,,PASS,JER,GRAVIMETRIC,,P-1386,,,,False,1.0,,,1.0,,False,True,,,
2020-01-29,,CUS-3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8073,NB991519,,Prodflow I,done,1999-09-03 00:00:00,100.0,mL,1.0,,ampule,JHP-018,38113,RAA,RAA S68-19,RAA-S68-19,,,,,,,,1999-09-07 00:00:00,False,74.0,0.0,,1899-12-30 11:30:00,1899-12-30 11:50:00,ZMA,,PASS,JER,GRAVIMETRIC,,P-1410,,,,False,1.0,,,1.0,,False,True,,,
2020-01-30,,CUS-3291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8760,NC000123,,Prodflow I,done,2000-01-27 00:00:00,200.0,mL,1.0,,ampule,JHP-021,39027,RAA,RAA S71-89,RAA-S71-89,,,,,,,,2000-01-27 00:00:00,False,139.0,0.0,,1899-12-30 03:35:00,1899-12-30 03:55:00,SAL,,PASS,JER,gravimetric,,R-0126,,,,False,1.0,,,1.0,,False,True,,,
